股票代码,股票简称,总股本,流通股,总市值,流通市值,行业,上市时间
301299,卓创资讯,60000000.0,35220688.0,3673200000.0,2156210519.36,互联网服务,20221019
688692,达梦数据,76000000.0,14285053.0,29624800000.0,5568313659.400001,软件开发,20240612
300896,爱美客,302437650.0,208464269.0,63070347531.0,43473138657.26,美容护理,20200928
300452,山河药辅,234447103.0,186799783.0,3075945991.3599997,2450813152.96,化学制药,20150515
300534,陇神戎发,303345000.0,302051488.0,2997048600.0,2984268701.44,中药,20160913
301281,科源制药,108290000.0,68852000.0,3770657800.0,2397426640.0,化学制药,20230404
300557,理工光科,93061959.0,91497259.0,2895157544.49,2846479727.49,仪器仪表,20161101
300206,理邦仪器,581721846.0,340438065.0,7672911148.74,4490378077.349999,医疗器械,20110421
002664,信质集团,407357600.0,401733688.0,5784477920.0,5704618369.599999,汽车零部件,20120316
300313,ST天山,312977396.0,197352789.0,2143895162.6,1351866604.6499999,农牧饲渔,20120425
002382,蓝帆医疗,1007123266.0,999691391.0,5871528640.78,5828200809.53,医疗器械,20100402
002121,科陆电子,1660816688.0,1399922404.0,8021744603.04,6761625211.32,电网设备,20070306
001299,美能能源,187579697.0,51265439.0,2588599818.6,707463058.2,燃气,20221031
301339,通行宝,414523800.0,120043478.0,8825211702.0,2555725646.62,软件开发,20220909
301276,嘉曼服饰,108000000.0,38503530.0,2307960000.0,822820436.1,纺织服装,20220909
301189,奥尼电子,114896465.0,40887873.0,2971222584.9,1057360395.78,通信设备,20211228
300525,博思软件,756326001.0,617395410.0,12948301137.12,10569809419.2,软件开发,20160726
002565,顺灏股份,1059988922.0,1054190222.0,3858359676.08,3837252408.08,包装材料,20110318
603707,健友股份,1615634520.0,1615634520.0,22828915767.600002,22828915767.600002,化学制药,20170719
002487,大金重工,637749349.0,630920266.0,14336605365.52,14183087579.68,风电设备,20101015
688121,卓然股份,233614003.0,141578667.0,3095385539.75,1875917337.75,专用设备,20210906
002601,龙佰集团,2386293256.0,1988655761.0,43525988989.439995,36273081080.64,化学原料,20110715
603081,大丰实业,409041500.0,405908900.0,4675344345.0,4639538727.0,专用设备,20170420
300907,康平科技,96000000.0,96000000.0,2284800000.0,2284800000.0,电机,20201118
000736,中交地产,747098401.0,695433689.0,7583048770.150001,7058651943.35,房地产开发,19970425
002674,兴业科技,291862944.0,288875652.0,2936141216.6400003,2906089059.1200004,纺织服装,20120507
688726,拉普拉斯,405326189.0,33731410.0,21153973803.91,1760442287.8999999,光伏设备,20241029
301287,康力源,66670000.0,16670000.0,2056769500.0,514269500.0,家用轻工,20230614
300218,安利股份,216987000.0,216276394.0,3432734340.0,3421492553.08,塑料制品,20110518
000850,华茂股份,943665009.0,943396879.0,4378605641.759999,4377361518.559999,纺织服装,19981007
301292,海科新源,222795778.0,84621290.0,3426599065.6400003,1301475440.2,化学制品,20230707
600640,国脉文化,795695940.0,795695940.0,11458021536.0,11458021536.0,文化传媒,19930407
301390,经纬股份,60000000.0,29050730.0,2020800000.0,978428586.4,电网设备,20230508
601218,吉鑫科技,977095932.0,976003236.0,3556629192.48,3552651779.04,风电设备,20110506
600173,卧龙地产,700506244.0,700416244.0,3180298347.76,3179889747.76,房地产开发,19990415
300139,晓程科技,274000000.0,233651725.0,4849800000.0,4135635532.5,贵金属,20101112
300668,杰恩设计,120381273.0,88283796.0,2591808807.69,1900750127.88,工程咨询服务,20170619
301586,佳力奇,82975503.0,19672537.0,4880619086.46,1157138626.34,航天航空,20240828
603882,金域医学,463258275.0,460134577.0,15746148767.25,15639974272.230001,医疗服务,20170908
002587,奥拓电子,651544156.0,515222984.0,5108106183.04,4039348194.56,光学光电子,20110610
002395,双象股份,268209000.0,268209000.0,4760709750.0,4760709750.0,塑料制品,20100429
603713,密尔克卫,161947043.0,161790268.0,8732184558.56,8723731250.56,物流行业,20180713
300029,ST天龙,200506500.0,200360250.0,1164942765.0,1164093052.5,光伏设备,20091225
000507,珠海港,919734895.0,902337753.0,5233291552.55,5134301814.570001,航运港口,19930326
002378,章源钨业,1201417666.0,1195089584.0,8842434021.76,8795859338.24,小金属,20100331
300128,锦富技术,1299115412.0,1299115412.0,7677772084.92,7677772084.92,光学光电子,20101013
300121,阳谷华泰,448675320.0,432485481.0,6110957858.4,5890452251.219999,橡胶制品,20100917
301246,宏源药业,400006800.0,160946600.0,6100103700.0,2454435650.0,化学制药,20230320
300407,凯发电气,318200493.0,244260074.0,3659305669.5,2808990851.0,电网设备,20141203
002154,报 喜 鸟,1459333729.0,1179773328.0,7355041994.16,5946057573.12,纺织服装,20070816
688315,诺禾致源,416200000.0,416200000.0,5772694000.0,5772694000.0,医疗服务,20210413
688289,圣湘生物,582388006.0,582388006.0,13569640539.800001,13569640539.800001,医疗器械,20200828
605011,杭州热电,400100000.0,400100000.0,10234558000.0,10234558000.0,公用事业,20210630
300687,赛意信息,410124969.0,325382345.0,8760269337.84,6950166889.2,互联网服务,20170803
300260,新莱应材,407806752.0,287636945.0,10941455156.16,7717299234.349999,通用设备,20110906
300967,晓鸣股份,189504076.0,124830139.0,2484398436.3599997,1636523122.29,农牧饲渔,20210413
001201,东瑞股份,257784001.0,165655594.0,4183834336.23,2688590290.62,农牧饲渔,20210428
300685,艾德生物,398540309.0,394909579.0,9919668291.01,9829299421.31,医疗器械,20170802
603843,正平股份,699623237.0,699623237.0,2693549462.4500003,2693549462.4500003,工程建设,20160905
002272,川润股份,484877300.0,379573348.0,4950597233.0,3875443883.0800004,工程机械,20080919
605088,冠盛股份,178535434.0,173355434.0,5013274986.719999,4867820586.719999,汽车零部件,20200817
688786,悦安新材,119833336.0,119833336.0,2893975064.3999996,2893975064.3999996,有色金属,20210826
300368,ST汇金,528943475.0,528943475.0,2512481506.25,2512481506.25,计算机设备,20140123
600390,五矿资本,4498065459.0,4498065459.0,32386071304.8,32386071304.8,多元金融,20010115
603209,兴通股份,280000000.0,183225000.0,4564000000.0,2986567500.0,航运港口,20220324
301155,海力风电,217391478.0,117404729.0,13621750011.48,7356580319.139999,风电设备,20211124
002240,盛新锂能,915293872.0,866650055.0,14122984444.96,13372410348.65,能源金属,20080523
833509,同惠电子,161855696.0,82448378.0,2801722097.7599998,1427181423.1799998,电网设备,20210111
300541,先进数通,430044492.0,365209064.0,5642183735.04,4791542919.679999,互联网服务,20160913
002852,道道全,343968305.0,285818746.0,3161068722.95,2626674275.74,食品饮料,20170310
300810,中科海讯,118050000.0,113986700.0,2582934000.0,2494028996.0,软件开发,20191206
600744,华银电力,2031124274.0,2031124274.0,7251113658.179999,7251113658.179999,电力行业,19960905
002442,龙星化工,503294063.0,487876007.0,2853677337.21,2766256959.69,橡胶制品,20100706
002226,江南化工,2648922855.0,2648881652.0,15310774101.900002,15310535948.560001,化学制品,20080506
600358,国旅联合,504936660.0,504936660.0,2130832705.1999998,2130832705.1999998,互联网服务,20000922
300438,鹏辉能源,503343360.0,404165941.0,16766367321.6,13462767494.710001,电池,20150424
002650,ST加加,1152000200.0,1151962700.0,5322240924.0,5322067674.0,食品饮料,20120106
300873,海晨股份,230601779.0,169239685.0,4556691153.04,3344176175.6000004,物流行业,20200824
600192,长城电工,441748000.0,441748000.0,2942041680.0,2942041680.0,电网设备,19981224
603558,健盛集团,369000549.0,369000549.0,3697385500.98,3697385500.98,纺织服装,20150127
300991,创益通,144000000.0,89892000.0,2806560000.0,1751995079.9999998,电子元件,20210520
002356,赫美集团,1311254521.0,1311254521.0,5389256081.31,5389256081.31,贸易行业,20100209
002361,神剑股份,951034969.0,801922984.0,4298678059.879999,3624691887.68,塑料制品,20100303
300255,常山药业,919060878.0,915909159.0,17682731292.719997,17622092219.16,化学制药,20110819
000058,深 赛 格,1231200672.0,984711604.0,11524038289.92,9216900613.439999,商业百货,19961226
600728,佳都科技,2143230265.0,2142804185.0,11702037246.9,11699710850.1,软件开发,19960716
002253,川大智胜,225626095.0,207769530.0,3804055961.7,3502994275.7999997,软件开发,20080623
605399,晨光新材,313417780.0,311877670.0,4209200785.4,4188517108.1,化学制品,20200804
837006,晟楠科技,90287200.0,32127126.0,2595757000.0,923654872.5,航天航空,20230518
002388,ST新亚,510697600.0,499044850.0,2160250848.0,2110959715.5000002,电子元件,20100413
002215,诺 普 信,1005191310.0,794009515.0,10443937710.9,8249758860.85,农药兽药,20080218
001368,通达创智,113867600.0,31485475.0,2427657232.0,671270327.0,塑料制品,20230313
000553,安道麦A,2329811766.0,2177067461.0,15982508714.76,14934682782.460001,农药兽药,19931203
832982,锦波生物,88511800.0,45891080.0,18954801970.0,9827574782.0,生物制品,20230720
300052,中青宝,261858710.0,261851210.0,5292164529.1,5292012954.1,游戏,20100211
300177,中海达,744169066.0,606303251.0,9517922354.14,7754618580.289999,计算机设备,20110215
300827,上能电气,359456608.0,259996506.0,18087856514.56,13083024181.92,光伏设备,20200410
600732,爱旭股份,1827794372.0,1597097603.0,24766613740.600002,21640672520.65,光伏设备,19960816
688316,青云科技-U,47799688.0,35944220.0,1928239413.92,1449989834.8000002,互联网服务,20210316
688117,圣诺生物,112000000.0,112000000.0,3306240000.0,3306240000.0,化学制药,20210603
002051,中工国际,1237408937.0,1237300547.0,10926320913.710001,10925363830.01,工程建设,20060619
002851,麦格米特,545224162.0,456928089.0,23466447932.48,19666184950.56,电源设备,20170306
300547,川环科技,216906174.0,178223597.0,4268713504.32,3507440388.96,橡胶制品,20160930
301041,金百泽,106680000.0,78903764.0,2891028000.0,2138292004.4,电子元件,20210811
600133,东湖高新,1066239875.0,1066239875.0,11440753858.75,11440753858.75,工程建设,19980212
688004,博汇科技,80088000.0,80088000.0,1488035039.9999998,1488035039.9999998,互联网服务,20200612
002404,嘉欣丝绸,560051541.0,455788596.0,3662737078.14,2980857417.84,纺织服装,20100511
301065,本立科技,106020000.0,68917200.0,2275189200.0,1478963112.0,化学原料,20210914
600162,香江控股,3268438122.0,3268438122.0,7027141962.299999,7027141962.299999,房地产开发,19980609
