序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
74,002541,鸿路钢构,18.61,9.99,1.69,262891.0,476497534.32,12.41,18.61,16.51,16.86,16.92,3.33,5.3,14.69,1.4,12841112191.0,9233768010.0,0.0,0.0,62.11,-12.26
75,603101,汇嘉时代,8.7,9.99,0.79,94507.0,79850398.0,10.24,8.7,7.89,7.9,7.91,0.74,2.01,61.09,2.97,4092480000.0,4092480000.0,0.0,0.0,98.63,34.67
76,603667,五洲新春,24.34,9.99,2.21,88460.0,215310764.0,0.0,24.34,24.34,24.34,22.13,0.34,2.42,68.08,3.04,8916727770.0,8913375422.0,0.0,0.0,88.24,4.82
77,603511,爱慕股份,13.66,9.98,1.24,35932.0,48466344.0,9.34,13.66,12.5,12.51,12.42,1.81,0.89,29.48,1.27,5553553758.0,5489780682.0,0.0,0.0,29.72,-7.26
78,002643,万润股份,13.66,9.98,1.24,1653546.0,2222581760.68,7.89,13.66,12.68,13.65,12.42,5.88,18.18,32.2,1.81,12705250077.0,12421387286.0,0.0,0.0,64.58,-16.14
79,603990,麦迪科技,13.0,9.98,1.18,175241.0,223029802.0,9.56,13.0,11.87,12.0,11.82,0.86,5.72,-17.86,4.34,3981675503.0,3981675503.0,0.0,0.0,60.3,0.62
80,003041,真爱美家,25.67,9.98,2.33,118646.0,293950818.28,16.07,25.67,21.92,21.92,23.34,1.07,8.67,49.39,2.78,3696480000.0,3512256678.0,0.0,0.0,134.43,57.97
81,002695,煌上煌,10.25,9.98,0.93,289427.0,285815622.62,14.7,10.25,8.88,8.95,9.32,0.92,6.23,54.5,2.06,5708707580.0,4759623447.0,0.0,0.0,62.96,-0.39
82,002347,泰尔股份,8.27,9.97,0.75,2501456.0,1932152409.06,18.22,8.27,6.9,8.0,7.52,3.89,50.7,-198.41,3.54,4173887823.0,4080276591.0,0.0,0.0,131.65,30.24
83,603015,弘讯科技,12.24,9.97,1.11,930943.0,1101831523.0,11.68,12.24,10.94,10.95,11.13,1.37,23.03,75.05,3.68,4947640560.0,4947640560.0,0.0,0.0,82.69,27.37
84,002629,仁智股份,3.75,9.97,0.34,580855.0,213234224.75,9.38,3.75,3.43,3.46,3.41,2.85,16.82,-119.17,52.64,1637430000.0,1295328184.0,0.0,0.0,113.07,-4.82
85,002598,山东章鼓,11.25,9.97,1.02,204638.0,227400505.67,10.26,11.25,10.2,10.23,10.23,0.38,7.26,25.87,2.88,3510021668.0,3173038054.0,0.0,0.0,56.69,9.22
86,002213,大为股份,13.13,9.97,1.19,104504.0,137213752.0,0.0,13.13,13.13,13.13,11.94,1.21,5.07,-88.2,5.32,3113845150.0,2704712564.0,0.0,0.0,42.1,-6.68
87,002708,光洋股份,11.59,9.96,1.05,1015532.0,1173706432.48,4.17,11.59,11.15,11.59,10.54,5.05,20.53,121.6,3.73,6514715438.0,5733171546.0,0.0,0.0,53.71,39.98
88,600503,华丽家族,2.87,9.96,0.26,898366.0,254060745.0,6.9,2.87,2.69,2.7,2.61,2.36,5.61,2038.03,1.26,4598572300.0,4598572300.0,0.0,0.0,67.84,12.55
89,002559,亚威股份,11.37,9.96,1.03,302410.0,343840420.14,0.0,11.37,11.37,11.37,10.34,0.98,6.04,46.02,3.49,6250828323.0,5690814004.0,0.0,0.0,63.6,-0.52
90,002689,远大智能,4.75,9.95,0.43,901880.0,415130509.83,9.26,4.75,4.35,4.49,4.32,1.65,8.65,-452.92,4.28,4955725944.0,4953829739.0,0.0,0.0,101.27,6.74
91,002114,罗平锌电,7.07,9.95,0.64,80531.0,56935417.0,0.0,7.07,7.07,7.07,6.43,0.5,2.49,-24.35,2.38,2286404538.0,2286373119.0,0.0,0.0,49.47,-5.48
92,601933,永辉超市,6.52,9.95,0.59,13943682.0,8565426366.0,19.9,6.52,5.34,5.65,5.93,2.58,15.36,-569.92,10.21,59169241194.0,59169241194.0,0.0,5.67,188.5,131.21
93,002717,岭南股份,4.31,9.95,0.39,3961465.0,1678088877.86,8.16,4.31,3.99,4.0,3.92,0.93,24.75,-21.65,4.03,7845206635.0,6899263015.0,0.0,0.0,281.42,33.44
94,002069,獐子岛,4.2,9.95,0.38,262776.0,108129522.0,8.64,4.2,3.87,3.87,3.82,0.57,3.7,-90.5,61.55,2986671215.0,2982908015.0,0.0,0.0,62.16,-6.46
95,000981,山子高科,2.1,9.95,0.19,11538119.0,2370167232.63,12.57,2.1,1.86,1.86,1.91,1.6,17.68,-19.28,9.96,20994688865.0,13702826449.0,0.0,0.0,96.26,32.08
96,002520,日发精机,7.52,9.94,0.68,1913412.0,1431170883.35,6.87,7.52,7.05,7.52,6.84,7.96,29.67,-68.2,5.44,6017843686.0,4849950086.0,0.0,0.0,102.7,14.29
97,600796,钱江生化,6.42,9.93,0.58,664879.0,422299516.0,6.85,6.42,6.02,6.09,5.84,5.22,22.06,32.38,1.72,5563480618.0,1935001764.0,0.0,0.0,55.45,10.31
98,603616,韩建河山,4.65,9.93,0.42,88479.0,41142884.0,0.0,4.65,4.65,4.65,4.23,0.67,2.32,-33.17,4.63,1819628700.0,1773361200.0,0.0,0.0,62.59,-16.82
99,002640,跨境通,6.2,9.93,0.56,7892301.0,4609468451.81,19.5,6.2,5.1,5.58,5.64,2.3,55.31,-407.85,7.25,9659856246.0,8846767371.0,0.0,0.0,321.77,65.78
100,002131,利欧股份,4.88,9.91,0.44,29854387.0,13716933156.37,15.32,4.88,4.2,4.67,4.44,3.05,51.02,-155.34,2.57,33044946489.0,28554035252.0,0.0,0.0,248.57,116.89
101,000056,皇庭国际,3.66,9.91,0.33,187980.0,68800687.32,0.0,3.66,3.66,3.66,3.33,0.24,2.08,-12.7,6.04,4428924715.0,3307437902.0,0.0,0.0,112.79,-1.08
102,301116,益客食品,14.82,9.45,1.28,409560.0,626055746.33,23.04,16.25,13.13,13.28,13.54,1.89,35.16,35.39,3.63,6653877568.0,1726508763.0,0.0,-0.8,52.63,16.33
103,688218,江苏北人,28.18,9.22,2.38,222330.0,621981655.0,19.11,29.98,25.05,25.27,25.8,1.64,18.76,343.3,3.67,3339820473.0,3339820473.0,-0.04,0.28,101.72,44.36
104,301310,鑫宏业,29.16,8.93,2.39,129757.0,373823626.95,17.89,31.0,26.21,26.55,26.77,4.73,18.75,31.11,1.76,3963953246.0,2018171182.0,0.0,-0.24,28.18,-14.46
105,301082,久盛电气,16.61,8.78,1.34,391074.0,623709799.19,15.91,17.36,14.93,15.12,15.27,1.64,42.76,139.38,3.48,3758995380.0,1519209134.0,0.06,0.06,96.57,29.36
106,688709,成都华微,27.3,8.76,2.2,255343.0,741477399.0,11.35,30.12,27.27,27.88,25.1,5.11,33.11,148.25,6.29,17385923810.0,2105299942.0,0.07,-0.76,89.45,75.22
107,430510,丰光精密,24.48,8.32,1.88,108202.0,256083330.81,10.97,24.68,22.2,22.38,22.6,1.54,12.35,153.94,11.25,4509556982.0,2145468302.0,0.12,0.62,133.37,23.45
108,838171,邦德股份,19.58,8.24,1.49,31722.0,58331080.42,11.44,19.58,17.51,18.2,18.09,1.78,6.11,26.32,4.35,2328649400.0,1016211751.0,2.19,4.15,106.98,12.92
109,300127,银河磁体,36.0,8.11,2.7,469200.0,1633166080.5,12.1,36.8,32.77,34.08,33.3,1.42,20.33,76.6,8.21,11633268960.0,8309381040.0,0.06,0.33,164.51,112.89
110,603106,恒银科技,10.54,8.1,0.79,817659.0,850423680.0,13.23,10.73,9.44,9.72,9.75,3.2,15.71,-114.92,4.46,5486280800.0,5486280800.0,-0.19,-0.47,141.74,21.43
111,300399,天利科技,24.11,8.02,1.79,441318.0,1091728398.7,21.86,26.78,21.9,21.9,22.32,2.66,22.34,-455.86,9.38,4764136000.0,4763671280.0,0.0,-0.04,107.84,74.71
112,836419,万德股份,15.11,8.01,1.12,109275.0,170928273.58,24.95,18.0,14.51,14.55,13.99,2.42,20.15,39.73,2.68,1348689951.0,819563000.0,-0.26,0.8,122.53,35.15
113,603125,常青科技,20.6,7.46,1.43,143477.0,297456264.0,10.75,21.09,19.03,19.18,19.17,6.34,20.55,27.68,2.52,5751468500.0,1437941800.0,-0.05,-0.19,33.94,0.29
114,301279,金道科技,24.88,7.43,1.72,80288.0,191928712.53,9.8,25.0,22.73,22.89,23.16,2.62,27.93,57.25,1.9,2488000000.0,715300000.0,-0.2,-0.28,44.99,1.59
115,688382,益方生物-U,11.84,7.34,0.81,457452.0,543460103.0,10.15,12.42,11.3,12.0,11.03,3.61,11.44,-16.77,3.94,6828663109.0,4732629330.0,0.0,0.17,65.13,-21.8
116,301596,瑞迪智驱,119.61,7.32,8.16,48934.0,578653175.42,19.74,130.88,108.88,108.96,111.45,1.88,35.51,67.36,8.2,6592672592.0,1648168148.0,0.09,0.89,95.44,361.46
117,000066,中国长城,18.2,7.25,1.23,4785860.0,8461364440.88,9.78,18.49,16.83,17.25,16.97,1.7,15.21,-64.03,4.89,58709543402.0,57271637641.0,0.0,0.05,130.09,79.84
118,301413,安培龙,58.05,7.2,3.9,55368.0,315572152.06,8.25,58.68,54.21,55.24,54.15,1.28,25.01,68.66,4.81,5712235229.0,1285255735.0,0.0,0.07,65.67,2.11
119,831167,鑫汇科,31.3,7.08,2.07,68280.0,227897036.52,23.98,36.69,29.68,29.68,29.23,1.56,23.74,86.11,5.96,1564466053.0,900145839.0,0.22,0.32,186.63,62.34
