alias,auctionEndTime,baseCcy,category,ctMult,ctType,ctVal,ctValCcy,expTime,instFamily,instId,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtAmt,maxLmtSz,maxMktAmt,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,optType,quoteCcy,ruleType,settleCcy,state,stk,tickSz,uly
,,ATOM,1,,,,,,,ATOM-USDT,SPOT,10,1628492174000,0.0000001,99999999999.0000000000000000,1000000,99999999999,1000000,1000000,1000000,99999999999.0000000000000000,99999999999.0000000000000000,1,,USDT,normal,,live,,0.005,
,,AUCTION,1,,,,,,,AUCTION-USDT,SPOT,10,1703752441000,0.00001,9999999999999.0000000000000000,1000000,9999999999999,1000000,1000000,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,0.1,,USDT,normal,,live,,0.001,
,,AVAX,1,,,,,,,AVAX-USDT,SPOT,10,1653377274000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.1,,USDT,normal,,live,,0.001,
,1682673000000,AXS,1,,,,,,,AXS-USDT,SPOT,,1682671800000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.1,,USDT,normal,,live,,0.001,
,1660299057000,AZY,1,,,,,,,AZY-USDT,SPOT,,1660299657000,0.0001,99999999999999.0000000000000000,1000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,100,,USDT,normal,,live,,0.000001,
,,BABYDOGE,1,,,,,,,BABYDOGE-USDT,SPOT,,1682395560000,1,9999999999999999.0000000000000000,1000000,9999999999999999,1000000,999999,999999,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000000000,,USDT,normal,,live,,0.000000000001,
,,BAL,1,,,,,,,BAL-USDT,SPOT,10,1626690167000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,1,,USDT,normal,,live,,0.001,
,,BAND,1,,,,,,,BAND-USDT,SPOT,10,1626690451000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,1,,USDT,normal,,live,,0.001,
,,BCH,1,,,,,,,BCH-USDT,SPOT,10,1628492552000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.01,,USDT,normal,,live,,0.01,
,,BETH,1,,,,,,,BETH-USDT,SPOT,5,1677823391000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.001,,USDT,normal,,live,,0.1,
,,BIGTIME,1,,,,,,,BIGTIME-USDT,SPOT,10,1698126887000,0.01,9999999999999999.0000000000000000,1000000,9999999999999999,1000000,1000000,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,10,,USDT,normal,,live,,0.00001,
,,BNB,1,,,,,,,BNB-USDT,SPOT,10,1671765528000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.001,,USDT,normal,,live,,0.1,
,1626698959000,BNT,1,,,,,,,BNT-USDT,SPOT,,1626698378000,0.0001,99999999999999.0000000000000000,1000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,10,,USDT,normal,,live,,0.0001,
,,BOME,1,,,,,,,BOME-USDT,SPOT,10,1724335200000,1,9999999999999999.0000000000000000,1000000,9999999999999999,1000000,1000000,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000,,USDT,normal,,live,,0.000001,
,,BONE,1,,,,,,,BONE-USDT,SPOT,,1714446900000,0.001,999999999999999.0000000000000000,1000000,999999999999999,1000000,1000000,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1,,USDT,normal,,live,,0.0001,
,,BSV,1,,,,,,,BSV-USDT,SPOT,10,1628492666000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.1,,USDT,normal,,live,,0.001,
,,BTT,1,,,,,,,BTT-USDT,SPOT,5,1645519095000,1,9999999999999999.0000000000000000,1000000,9999999999999999,1000000,1000000,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,10,,USDT,normal,,live,,0.0000000001,
,1628493125000,BZZ,1,,,,,,,BZZ-USDT,SPOT,,1628493230000,0.0001,99999999999999.0000000000000000,1000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,10,,USDT,normal,,live,,0.001,
,1732176300000,CAT,1,,,,,,,CAT-USDT,SPOT,,1732172700000,1,9999999999999999.0000000000000000,1000000,9999999999999999,1000000,1000000,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,100000,,USDT,normal,,live,,0.000000001,
,,CELO,1,,,,,,,CELO-USDT,SPOT,10,1626751468000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,10,,USDT,normal,,live,,0.0001,
,1626752032000,CELR,1,,,,,,,CELR-USDT,SPOT,,1626751666000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,100,,USDT,normal,,live,,0.000001,
,1683780600000,CETUS,1,,,,,,,CETUS-USDT,SPOT,,1683779400000,0.0001,99999999999999.0000000000000000,1000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,10,,USDT,normal,,live,,0.00001,
,,CFX,1,,,,,,,CFX-USDT,SPOT,10,1626751867000,0.00001,9999999999999.0000000000000000,1000000,9999999999999,1000000,1000000,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,10,,USDT,normal,,live,,0.0001,
,,CHAT,1,,,,,,,CHAT-USDT,SPOT,,1680013920000,0.01,9999999999999999.0000000000000000,1000000,9999999999999999,1000000,1000000,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,100,,USDT,normal,,live,,0.000001,
,,COMP,1,,,,,,,COMP-USDT,SPOT,10,1628493388000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.1,,USDT,normal,,live,,0.01,
,1626752032000,CONV,1,,,,,,,CONV-USDT,SPOT,,1626753210000,0.00001,9999999999999.0000000000000000,1000000,9999999999999,1000000,1000000,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,100,,USDT,normal,,live,,0.00001,
,,CRV,1,,,,,,,CRV-USDT,SPOT,10,1628667753000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,10,,USDT,normal,,live,,0.0001,
,,CTC,1,,,,,,,CTC-USDT,SPOT,10,1706598720000,0.0001,99999999999999.0000000000000000,1000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1,,USDT,normal,,live,,0.0001,
,,DEGEN,1,,,,,,,DEGEN-USDT,SPOT,5,1725004800000,1,9999999999999999.0000000000000000,1000000,9999999999999999,1000000,1000000,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000,,USDT,normal,,live,,0.000001,
,1651812890000,DEP,1,,,,,,,DEP-USDT,SPOT,,1651813490000,0.00001,9999999999999.0000000000000000,1000000,9999999999999,1000000,1000000,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,100,,USDT,normal,,live,,0.000001,
,,DMAIL,1,,,,,,,DMAIL-USDT,SPOT,,1708513200000,0.0001,99999999999999.0000000000000000,1000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1,,USDT,normal,,live,,0.0001,
,1626660080000,DMG,1,,,,,,,DMG-USDT,SPOT,,1626745915000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.01,,USDT,normal,,live,,0.00001,
,,DOGS,1,,,,,,,DOGS-USDT,SPOT,10,1725881098000,1,9999999999999999.0000000000000000,1000000,9999999999999999,1000000,1000000,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000,,USDT,normal,,live,,0.0000001,
,,DORA,1,,,,,,,DORA-USDT,SPOT,5,1694424684000,0.0001,99999999999999.0000000000000000,1000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,100,,USDT,normal,,live,,0.00001,
,,DOT,1,,,,,,,DOT-USDT,SPOT,10,1628493784000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.1,,USDT,normal,,live,,0.001,
,,ENJ,1,,,,,,,ENJ-USDT,SPOT,10,1695808689000,0.001,999999999999999.0000000000000000,1000000,999999999999999,1000000,1000000,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,10,,USDT,normal,,live,,0.0001,
,,EOS,1,,,,,,,EOS-USDT,SPOT,10,1628493897000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,1,,USDT,normal,,live,,0.0001,
,,ETC,1,,,,,,,ETC-USDT,SPOT,10,1628494012000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.1,,USDT,normal,,live,,0.001,
,,ETHW,1,,,,,,,ETHW-USDT,SPOT,10,1673262615000,0.0001,99999999999999.0000000000000000,1000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1,,USDT,normal,,live,,0.001,
,,ETHFI,1,,,,,,,ETHFI-USDT,SPOT,10,1712219400000,0.0001,99999999999999.0000000000000000,1000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1,,USDT,normal,,live,,0.001,
,1720758000000,ETM,1,,,,,,,ETM-USDT,SPOT,,1720756800000,0.01,9999999999999999.0000000000000000,1000000,9999999999999999,1000000,1000000,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,10,,USDT,normal,,live,,0.00001,
,,EUR,1,,,,,,,EUR-USDT,SPOT,,1706172725000,0.00001,9999999999999.0000000000000000,1000000,9999999999999,1000000,1000000,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,0.1,,USDT,normal,,live,,0.001,
,,FET,1,,,,,,,FET-USDT,SPOT,5,1701775500000,0.001,999999999999999.0000000000000000,1000000,999999999999999,1000000,1000000,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,10,,USDT,normal,,live,,0.0001,
,,FIL,1,,,,,,,FIL-USDT,SPOT,10,1631592668000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.1,,USDT,normal,,live,,0.001,
,1651740595000,FITFI,1,,,,,,,FITFI-USDT,SPOT,,1651741196000,0.0001,99999999999999.0000000000000000,1000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,100,,USDT,normal,,live,,0.000001,
,,FLOKI,1,,,,,,,FLOKI-USDT,SPOT,10,1671850402000,1,9999999999999999.0000000000000000,1000000,9999999999999999,1000000,1000000,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,100000,,USDT,normal,,live,,0.00000001,
,,FLOW,1,,,,,,,FLOW-USDT,SPOT,10,1700713578000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,1,,USDT,normal,,live,,0.0001,
,,FRONT,1,,,,,,,FRONT-USDT,SPOT,5,1626751159000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,10,,USDT,normal,,live,,0.0001,
